sentence_id	token	pos_GF	pos_AT		Adjudication		
1	si	CONJ	CONJ		CONJ		
1	fanm-	NOUN	NOUN		NOUN		
1	la	DET	DET		DET		
1	pa	ADV	ADV		ADV		
1	té	VERB	VERB		VERB		
1	la	ADV	ADV		ADV		
1	an	PRON	PRON		PRON		
1	té	PART	PART		PART		
1	ké	PART	PART		PART		
1	pati	VERB	VERB		VERB		
2	ou	PRON	PRON		PRON		
2	poko	ADV	ADV		ADV		
2	ba-	VERB	VERB		VERB		
2	y	PRON	PRON		PRON		
2	lajan	NOUN	NOUN		NOUN		
2	oben	CONJ	CONJ		CONJ		
2	ou	PRON	PRON		PRON		
2	ja	ADV	ADV		ADV		
2	ba	VERB	VERB		VERB		
2	y	PRON	PRON		PRON		
2	li	PRON	PRON		PRON		
3	i	PRON	PRON		PRON		
3	ké	PART	PART		PART		
3	byen	ADV	ADV		ADV		
3	gaté	ADJ	ADJ		ADJ		
3	ki	ADJ	ADJ		ADJ		
3	laj	NOUN	NOUN		NOUN		
3	a'y	PRON	ADP+PRON		PRON	PRON	
4	a_fòs	ADP	SCONJ		ADP	locution prépositive	
4	makak	NOUN	NOUN		NOUN		
4	karésé	VERB	VERB		VERB		
4	pitit	NOUN	NOUN		NOUN		
4	a'y	PRON	PRON		PRON	nouveau token a'y	PRON
4	i	PRON	PRON		PRON		
4	kyouwé	VERB	VERB		VERB		
4	'y	PRON	PUNCT		PRON		
5	maladi	NOUN	PRON		NOUN		
5	vin	VERB	VERB		VERB		
5	a	ADP	ADP		ADP		
5	chouval	NOUN	NOUN		NOUN		
5	i	PRON	PRON		PRON		
5	ka	PART	PART		PART		
5	alé	VERB	VERB		VERB		
5	a	ADP	ADP		ADP		
5	pyé	NOUN	NOUN		NOUN		
6	two	ADP	ADV		ADV		
6	présé	VERB	VERB		VERB		
6	pa	ADV	ADV		ADV		
6	ka	PART	PART		PART		
6	fè	VERB	AUX		AUX		
6	jou	NOUN	NOUN		NOUN		
6	ouvè	VERB	VERB		VERB		
7	an	DET	ADP		DET		
7	chandèl	NOUN	NOUN		NOUN		
7	kabrit	NOUN	NOUN		NOUN		
7	ka	PART	PART		PART		
7	sanb	VERB	VERB		VERB		
7	ti	ADJ	ADJ		ADJ		
7	fi	NOUN	NOUN		NOUN		
8	a_fòs	SCONJ	SCONJ		SCONJ		
8	frékanté	VERB	VERB		VERB		
8	chyen	NOUN	NOUN		NOUN		
8	ou	PRON	PRON		PRON		
8	ka	PART	PART		PART		
8	trapé	VERB	VERB		VERB		
8	pis'	NOUN	NOUN		NOUN		
9	sé	VERB	VERB		VERB		
